STATION_ID,LONGNAME,LINES,ADDRESS,ADA,PKNRD,POINT_X,POINT_Y
"1130",Halsted-Midway,Orange Line,2520 S. Archer Avenue,"1","1",1170942.96556184,1887545.79610276
"830",18th,Pink,1710 W. 18th Street,"1","0",1165182.26334848,1891511.43450645
"210",Damen,Pink,2010 S. Damen Avenue,"1","0",1163335.47601876,1890260.80487328
"740",Western-Douglas,Pink,2009 S. Western Avenue,"1","0",1160828.02104042,1890198.73280923
"780",Central Park,Pink,1915 S. Central Park Avenue,"1","0",1152737.52861689,1889991.51591303
"150",Pulaski-Douglas,Pink,2005 S. Pulaski Road,"1","0",1150164.33155849,1889923.88301697
"600",Kostner,Pink,2019 S. Kostner Avenue,"1","0",1147729.86397223,1889868.06298492
"420",Cicero-Douglas,Pink,2133 S. 48th Court,"1","0",1144443.84387317,1889179.92090428
"1510",Morgan,"Green (Lake), Pink",1000 W Lake St,"1","0",1169742.11896873,1901630.35829187
"1680",Oakton-Skokie,Yellow Line,4802 W Oakton,"1","0",1143497.61436828,1952698.68115543
"1690",Cermak-McCormick Place,Green Line,12 E. Cermak Rd.,"1","0",1176844.65337534,1889858.01703291
"1700",Washington/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",29 N. Wabash,"1","0",1176812.47724731,1900828.68763513
"1450",Chicago/State,Red Line,800 N. State Street,"1","0",1176230.95814277,1905725.84936769
"330",Grand/State,Red Line,521 N. State Street,"1","0",1176288.17926282,1903902.00526999
"800",Sedgwick,"Brown, Purple (Express)",1536 N. Sedgwick Avenue,"1","0",1173161.40626791,1910707.27350033
"1010",Rockwell,Brown Line,4648 N. Rockwell Street,"1","0",1158091.02161388,1930925.25598316
"920",Pulaski-Congress,Blue Line (Congress),530 S. Pulaski Road,"0","0",1149758.98320612,1897220.94772777
"180",Oak Park-Congress,Blue Line,950 S. Oak Park Avenue,"0","0",1131794.16322138,1896451.73249505
"980",Harlem-Congress,Blue Line (Congress),701 S. Harlem Avenue,"0","0",1127608.00923349,1896929.33249549
"960",Pulaski-Midway,Orange Line,5106 S. Pulaski Road,"1","1",1150270.22237459,1870257.60178265
"250",Kedzie-Homan,Blue Line (Congress),530 S. Kedzie Avenue,"1","0",1155108.32490710,1897455.04718398
"390",Forest Park,Blue Line,711 S. Des Plaines Avenue,"1","1",1124785.60718286,1897191.79239974
"1090",Monroe/State,Red Line,26 S. State,"0","0",1176409.33715094,1899923.25429028
"750",Harlem-O'Hare,Blue Line (O'Hare),5550 N. Harlem Avenue,"1","1",1126838.69876877,1936585.06680443
"610",Ridgeland,Green Line (Lake),36 N. Ridgeland Avenue,"0","0",1133921.86037537,1901950.19138017
"700",Laramie,Green Line (Lake),5148 W. Lake Street,"1","0",1141729.75260664,1902002.90459622
"1360",California-Lake,Green Line (Lake),2800 W. Lake Street,"1","0",1157735.61553354,1901043.52283533
"670",Western/Milwaukee,Blue Line (O'Hare),1909 N. Western Avenue,"1","0",1160063.30014371,1912699.74915018
"1240",Addison-O'Hare,Blue Line,3622 W. Addison Street,"1","0",1151344.51459959,1924006.59972071
"510",Garfield-South Elevated,Green Line,320 E. Garfield Boulevard,"1","1",1179221.19584155,1868763.71813326
"310",Western-Midway,Orange Line,4901 S. Western Avenue,"1","1",1161268.48644883,1872085.72671236
"120",35th/Archer,Orange Line,3528 S. Leavitt Street,"1","1",1162147.77912165,1881157.78688081
"1030",Polk,Pink,1713 W. Polk Street,"1","0",1165039.42430835,1896486.58894308
"440",California-Douglas,Pink,2011 S. California Avenue,"1","0",1158201.07396598,1890136.33869717
"1040",Kedzie-Douglas,Pink,1944 S. Kedzie Avenue,"1","0",1155312.29879529,1890060.72192910
"580",54th/Cermak,Pink,2134 S. 54th Avenue,"1","1",1141351.97852629,1889103.78010421
"350",UIC-Halsted,Blue Line,430 S. Halsted Street,"1","0",1170448.20024938,1897969.67528046
"430",Clinton-Congress,Blue Line,426 S. Clinton Street,"0","0",1172806.09209158,1897996.84712049
"1340",LaSalle,Blue Line,150 W. Congress Parkway,"0","0",1175328.49516593,1898027.79675252
"540",Wilson,"Purple, Red Line",4920 N. Broadway Street,"1","0",1168029.49407113,1930295.53438257
"660",Armitage,"Brown, Purple (Express)",944 W. Armitage Avenue,"1","0",1169507.15116051,1913523.19132695
"280",Central-Lake,Green Line (Lake),350 N. Central Avenue,"1","0",1138825.73519593,1902065.79330028
"30",Pulaski-Lake,Green Line (Lake),4000 W. Lake Street,"1","0",1149789.47306214,1901420.43035568
"1250",Central-Evanston,"Purple Line, Evanston Express",1022 W. Central Avenue,"0","0",1160131.38718378,1966573.10446436
"520",Foster,"Purple Line, Evanston Express",900 W. Foster Street,"0","0",1160717.13515232,1962996.53230102
"1670",Conservatory-Central Park,Green Line (Lake),3631 W. Lake Street,"1","0",1152209.09520840,1901252.71835552
"80",Sheridan,Red Line,3940 N. Sheridan Road,"0","0",1168782.69906383,1926475.82647501
"1420",Addison-North Main,Red Line,940 W. Addison Street,"1","0",1169155.59813618,1924165.78538486
"380",Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",100 W. Lake,"1","0",1175525.85913411,1901735.36641997
"70",Jackson/Dearborn,Blue Line,328 S. Dearborn,"1","0",1175981.49715054,1898986.07233741
"630",Clark/Division,Red Line,1200 N. Clark Street,"1","0",1175328.34617393,1908360.20047414
"1050",Linden,"Purple Line, Evanston Express",349 W. Linden Avenue,"1","1",1158718.09105446,1969902.89851546
"840",South Boulevard,"Purple Line, Evanston Express",601 W. South Boulevard,"0","0",1162211.83313771,1953332.90246802
"1190",Jarvis,Red Line,1523 W. Jarvis Street,"0","0",1164754.77227608,1949075.67852806
"1380",Bryn Mawr,Red Line,1119 W. Bryn Mawr Avenue,"0","0",1167633.60312676,1937300.91346109
"460",Merchandise Mart,"Brown, Purple (Express)",350 N. Wells Street,"1","0",1174675.57817332,1902905.85602106
"730",Washington/Wells,"Brown, Orange, Pink, Purple (Express)",100 N. Wells Street,"1","0",1174726.83884537,1900620.27445093
"360",Southport,Brown Line,3411 N. Southport Avenue,"1","0",1166449.96254966,1922826.81834361
"680",Adams/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",201 S. Wabash Avenue,"0","0",1176848.36665534,1899477.04526587
"560",Jackson/State,Red Line,230 S. State,"1","0",1176444.43423897,1898979.02849740
"820",Rosemont,Blue Line,5801 N. River Road,"1","1",1113107.88045198,1936936.48210075
"20",Harlem-Lake,Green Line (Lake),1 S. Harlem Avenue,"1","0",1128608.76033842,1901803.39560403
"320",Division/Milwaukee,Blue Line,1200 N. Milwaukee Avenue,"0","0",1165779.32370104,1908078.03624988
"450",95th/Dan Ryan,Red Line,14 W. 95th Street,"1","0",1177778.98067221,1842222.00572454
"910",63rd-Dan Ryan,Red Line,220 W. 63rd Street,"1","0",1175808.13267038,1863399.65745627
"1170",Garfield-Dan Ryan,Red Line,220 W. Garfield Boulevard,"1","0",1175717.82047829,1868822.88715732
"1400",Roosevelt/State,Red Line,1167 S. State Street,"1","0",1176529.51123105,1895049.38830174
